Name,Team,BABIP,GB/FB,LD%,GB%,FB%,IFFB%,HR/FB,IFH,IFH%,BUH,BUH%,Pull%,Cent%,Oppo%,Soft%,Med%,Hard%,NameASCII,PlayerId,MLBAMID
"Deven Marrero","MIA",0,1,0.5,0.5,0,0,0,0,0,0,0,1,0,0,0,0,1,"Deven Marrero",13325,571918
"Jarrett Parker","LAA",0,1,0,0.5,0.5,0,0,0,0,0,0,0.25,0.25,0.5,0,0.25,0.75,"Jarrett Parker",11624,592620
"Nick Ciuffo","TBR",0.333333333,0,0.5,0,0.5,0,0,0,0,1,1,0.33333333,0.66666667,0,0,0.33333333,0.66666667,"Nick Ciuffo",16291,624419
"Zach Green","SFG",0.25,6,0.125,0.75,0.125,0,0,1,0.166666666,0,0,0.625,0.25,0.125,0,0.375,0.625,"Zach Green",14973,608339
"Luis Torrens","SDP",0.375,4,0.375,0.5,0.125,0,0,0,0,0,0,0.5,0,0.5,0.25,0.125,0.625,"Luis Torrens",15905,620443
"Edwin Ríos","LAD",0.409090909,1.714285714,0.269230769,0.461538461,0.269230769,0,0.571428571,1,0.083333333,0,0,0.38461538,0.26923077,0.34615385,0.11538462,0.30769231,0.57692308,"Edwin Rios",18316,621458
"Beau Taylor","- - -",0.125,2.75,0.166666666,0.611111111,0.222222222,0,0.5,0,0,0,0,0.5,0.16666667,0.33333333,0.05555556,0.38888889,0.55555556,"Beau Taylor",12384,607333
"Franchy Cordero","SDP",0.555555555,0.666666666,0.375,0.25,0.375,0,0,1,0.5,1,1,0.44444444,0.44444444,0.11111111,0,0.44444444,0.55555556,"Franchy Cordero",14567,614173
"Jared Walsh","LAA",0.348837209,1.133333333,0.272727272,0.386363636,0.34090909,0,0.066666666,0,0,0,0,0.56818182,0.22727273,0.20454545,0.13636364,0.31818182,0.54545455,"Jared Walsh",18607,665120
"Aaron Judge","NYY",0.360189573,1.246753246,0.273109243,0.403361344,0.323529411,0.025974025,0.35064935,6,0.0625,0,0,0.38655462,0.34453782,0.26890756,0.09243697,0.3697479,0.53781513,"Aaron Judge",15640,592450
"Alex Avila","ARI",0.287356321,2.083333333,0.229166666,0.520833333,0.25,0,0.375,3,0.06,0,0,0.46875,0.375,0.15625,0.05208333,0.41666667,0.53125,"Alex Avila",7476,488671
"Jake Lamb","ARI",0.234375,1.019607843,0.225563909,0.390977443,0.383458646,0.058823529,0.117647058,2,0.038461538,0,0,0.39552239,0.39552239,0.20895522,0.1119403,0.35820896,0.52985075,"Jake Lamb",13329,571875
"Gavin Lux","LAD",0.326530612,1.176470588,0.274509803,0.392156862,0.333333333,0.058823529,0.117647058,0,0,0,0,0.39215686,0.43137255,0.17647059,0.19607843,0.2745098,0.52941176,"Gavin Lux",19955,666158
"Miguel Sanó","MIN",0.319148936,0.88172043,0.211711711,0.369369369,0.418918918,0.086021505,0.365591397,7,0.085365853,0,0,0.55405405,0.29279279,0.15315315,0.09009009,0.38288288,0.52702703,"Miguel Sano",12164,593934
"Nelson Cruz","MIN",0.350877192,0.984732824,0.202453987,0.395705521,0.40184049,0.076335877,0.312977099,12,0.093023255,0,0,0.41717791,0.32822086,0.25460123,0.1196319,0.35582822,0.52453988,"Nelson Cruz",2434,443558
"Jake Cave","MIN",0.358333333,2.428571428,0.25,0.53125,0.21875,0,0.285714285,3,0.044117647,0,0,0.4140625,0.3359375,0.25,0.0546875,0.421875,0.5234375,"Jake Cave",14477,595909
"Dom Nuñez","COL",0.238095238,0.538461538,0.130434782,0.304347826,0.565217391,0,0.153846153,0,0,0,0,0.34782609,0.43478261,0.2173913,0.13043478,0.34782609,0.52173913,"Dom Nunez",15055,624513
"Joey Gallo","TEX",0.367924528,0.576271186,0.256,0.272,0.472,0.118644067,0.372881355,3,0.088235294,3,0.75,0.52713178,0.26356589,0.20930233,0.13178295,0.34883721,0.51937984,"Joey Gallo",14128,608336
"Kyle Garlick","LAD",0.346153846,0.352941176,0.206896551,0.206896551,0.586206896,0.117647058,0.176470588,0,0,0,0,0.37931034,0.24137931,0.37931034,0.13793103,0.34482759,0.51724138,"Kyle Garlick",18063,664247
"Jason Castro","MIN",0.306569343,0.915254237,0.246666666,0.36,0.393333333,0.033898305,0.220338983,6,0.111111111,0,0,0.39735099,0.32450331,0.2781457,0.1192053,0.36423841,0.51655629,"Jason Castro",8722,488771
"Yordan Alvarez","HOU",0.365979381,1.024390243,0.248868778,0.380090497,0.371040723,0.012195121,0.329268292,3,0.035714285,0,0,0.38461538,0.37556561,0.239819,0.09954751,0.38914027,0.51131222,"Yordan Alvarez",19556,670541
"Christian Yelich","MIL",0.354545454,1.201492537,0.209115281,0.431635388,0.359249329,0.074626865,0.328358208,10,0.062111801,0,0,0.39304813,0.37433155,0.23262032,0.14438503,0.34759358,0.50802139,"Christian Yelich",11477,592885
"Justin Turner","LAD",0.303523035,0.836477987,0.258883248,0.337563451,0.403553299,0.050314465,0.16981132,10,0.075187969,0,0,0.38227848,0.36962025,0.24810127,0.12405063,0.3721519,0.50379747,"Justin Turner",5235,457759
"Matt Olson","OAK",0.3,0.703947368,0.240469208,0.313782991,0.4457478,0.138157894,0.236842105,6,0.056074766,5,1,0.51734104,0.30057803,0.18208092,0.15606936,0.34104046,0.50289017,"Matt Olson",14344,621566
"Steven Baron","PIT",0.5,2,0.25,0.5,0.25,0,0,0,0,0,0,0.75,0.25,0,0,0.5,0.5,"Steven Baron",9787,571467
"Patrick Wisdom","TEX",0.363636363,0.2,0.454545454,0.09090909,0.454545454,0,0,1,1,0,0,0.41666667,0.41666667,0.16666667,0,0.5,0.5,"Patrick Wisdom",13602,621550
"Andrew Velazquez","- - -",0.2,1,0.2,0.4,0.4,0,0,0,0,0,0,0.1,0.7,0.2,0.2,0.3,0.5,"Andrew Velazquez",14196,623205
"Michael Hermosillo","LAA",0.277777777,0.571428571,0.352941176,0.235294117,0.411764705,0.142857142,0,0,0,0,0,0.55555556,0.22222222,0.22222222,0.05555556,0.44444444,0.5,"Michael Hermosillo",16285,641684
"Yasmany Tomás","ARI",0,2,0,1,0,0,0,0,0,0,0,0.5,0.5,0,0,0.5,0.5,"Yasmany Tomas",17171,630111
"Chris Shaw","SFG",0.1,2,0.1,0.6,0.3,0,0,0,0,0,0,0.7,0.2,0.1,0,0.5,0.5,"Chris Shaw",17738,622046
"Shohei Ohtani","LAA",0.353846153,2.029411764,0.258992805,0.496402877,0.244604316,0.029411764,0.264705882,15,0.108695652,0,0,0.30935252,0.37769784,0.31294964,0.08633094,0.41726619,0.49640288,"Shohei Ohtani",19755,660271
"Cody Bellinger","LAD",0.302211302,0.743455497,0.261640798,0.314855875,0.423503325,0.089005235,0.246073298,15,0.105633802,3,0.75,0.47912088,0.32307692,0.1978022,0.13186813,0.37582418,0.49230769,"Cody Bellinger",15998,641355
"Carson Kelly","ARI",0.270642201,0.907216494,0.216101694,0.372881355,0.411016949,0.103092783,0.18556701,6,0.068181818,0,0,0.41525424,0.36864407,0.21610169,0.1779661,0.33474576,0.48728814,"Carson Kelly",13620,608348
"Eric Thames","MIL",0.313304721,0.722689075,0.205426356,0.333333333,0.46124031,0.084033613,0.210084033,2,0.023255813,0,0,0.43023256,0.35658915,0.21317829,0.13178295,0.38372093,0.48449612,"Eric Thames",3711,519346
"Marcell Ozuna","STL",0.256559766,1.175572519,0.233870967,0.413978494,0.352150537,0.099236641,0.221374045,11,0.071428571,0,0,0.49462366,0.3172043,0.18817204,0.11827957,0.39784946,0.48387097,"Marcell Ozuna",10324,542303
"Michael A. Taylor","WSN",0.396226415,1.411764705,0.211538461,0.461538461,0.326923076,0.117647058,0.058823529,2,0.083333333,1,0.25,0.48214286,0.39285714,0.125,0.17857143,0.33928571,0.48214286,"Michael A. Taylor",11489,572191
"Michael Pérez","TBR",0.37037037,0.909090909,0.222222222,0.37037037,0.407407407,0.09090909,0,0,0,0,0,0.44444444,0.44444444,0.11111111,0.07407407,0.44444444,0.48148148,"Michael Perez",12977,605421
"Bryce Harper","PHI",0.313186813,1.013422818,0.23857868,0.38324873,0.378172588,0.053691275,0.234899328,10,0.066225165,4,0.8,0.37844612,0.37844612,0.24310777,0.10526316,0.41353383,0.48120301,"Bryce Harper",11579,547180
"Matt Wieters","STL",0.223214285,0.94,0.211382113,0.382113821,0.406504065,0.04,0.22,1,0.021276595,0,0,0.36585366,0.34146341,0.29268293,0.11382114,0.40650407,0.4796748,"Matt Wieters",4298,446308
"Franmil Reyes","- - -",0.279220779,1.277310924,0.214492753,0.44057971,0.344927536,0.075630252,0.310924369,6,0.039473684,0,0,0.3826087,0.38550725,0.23188406,0.13913043,0.38550725,0.47536232,"Franmil Reyes",14566,614177
"Logan Forsythe","TEX",0.306603773,1.194805194,0.228310502,0.420091324,0.351598173,0.051948051,0.09090909,4,0.04347826,0,0,0.45205479,0.31050228,0.23744292,0.13242009,0.39269406,0.47488584,"Logan Forsythe",7185,523253
"Paul Goldschmidt","STL",0.3025,0.976608187,0.221198156,0.384792626,0.394009216,0.087719298,0.198830409,17,0.101796407,0,0,0.38018433,0.37557604,0.24423963,0.14516129,0.38018433,0.47465438,"Paul Goldschmidt",9218,502671
"David Freese","LAD",0.373831775,1.444444444,0.254237288,0.440677966,0.305084745,0.083333333,0.305555555,1,0.019230769,0,0,0.33898305,0.26271186,0.39830508,0.10169492,0.42372881,0.47457627,"David Freese",9549,501896
"Josh VanMeter","CIN",0.278787878,0.873239436,0.226744186,0.360465116,0.412790697,0.112676056,0.112676056,1,0.016129032,0,0,0.45086705,0.34682081,0.20231214,0.12138728,0.40462428,0.47398844,"Josh VanMeter",15170,642165
"Mitch Garver","MIN",0.276923076,0.822429906,0.137168141,0.38938053,0.473451327,0.093457943,0.289719626,6,0.068181818,0,0,0.51327434,0.27433628,0.21238938,0.18141593,0.34513274,0.47345133,"Mitch Garver",15161,641598
"Chris Iannetta","COL",0.305882352,1.2,0.274725274,0.395604395,0.329670329,0,0.2,1,0.027777777,0,0,0.37362637,0.45054945,0.17582418,0.14285714,0.38461538,0.47252747,"Chris Iannetta",8267,455104
"Josh Donaldson","ATL",0.292479108,1.159722222,0.214646464,0.421717171,0.363636363,0.125,0.256944444,14,0.083832335,0,0,0.48484848,0.26767677,0.24747475,0.15151515,0.37626263,0.47222222,"Josh Donaldson",5038,518626
"Wil Myers","SDP",0.344,1.228260869,0.217557251,0.431297709,0.351145038,0.130434782,0.195652173,10,0.088495575,4,0.571428571,0.46468401,0.3197026,0.21561338,0.17472119,0.35315985,0.47211896,"Wil Myers",10047,571976
"Phil Gosselin","PHI",0.346938775,1.176470588,0.244897959,0.408163265,0.346938775,0.058823529,0,0,0,0,0,0.30612245,0.40816327,0.28571429,0.12244898,0.40816327,0.46938776,"Phil Gosselin",10953,594838
"Hunter Renfroe","SDP",0.239382239,0.757142857,0.157534246,0.363013698,0.479452054,0.114285714,0.235714285,5,0.047169811,0,0,0.55821918,0.31164384,0.13013699,0.15410959,0.37671233,0.46917808,"Hunter Renfroe",15464,592669
"Freddie Freeman","ATL",0.31797235,1.124223602,0.275423728,0.383474576,0.341101694,0.04347826,0.236024844,5,0.027624309,0,0,0.40466102,0.30932203,0.28601695,0.12288136,0.40889831,0.46822034,"Freddie Freeman",5361,518692
"Kyle Tucker","HOU",0.325581395,0.727272727,0.191489361,0.340425531,0.468085106,0.045454545,0.181818181,0,0,0,0,0.46808511,0.27659574,0.25531915,0.10638298,0.42553191,0.46808511,"Kyle Tucker",18345,663656
"Jorge Soler","KCR",0.294277929,0.953216374,0.195180722,0.392771084,0.412048192,0.087719298,0.280701754,11,0.067484662,0,0,0.46746988,0.31084337,0.22168675,0.13012048,0.40240964,0.46746988,"Jorge Soler",14221,624585
"Eugenio Suárez","CIN",0.311953352,0.84939759,0.216836734,0.359693877,0.423469387,0.114457831,0.295180722,10,0.070921985,0,0,0.52040816,0.26785714,0.21173469,0.1505102,0.38265306,0.46683673,"Eugenio Suarez",12552,553993
"Ryan Flaherty","CLE",0.214285714,2.666666666,0.214285714,0.571428571,0.214285714,0.666666666,0,0,0,0,0,0.6,0.33333333,0.06666667,0.13333333,0.4,0.46666667,"Ryan Flaherty",7888,475247
"Tyler O'Neill","STL",0.385542168,0.942857142,0.227272727,0.375,0.397727272,0.2,0.142857142,5,0.151515151,0,0,0.44318182,0.31818182,0.23863636,0.17045455,0.36363636,0.46590909,"Tyler O'Neill",15711,641933
"Max Muncy","LAD",0.283387622,0.977272727,0.234604105,0.37829912,0.387096774,0.037878787,0.265151515,14,0.108527131,1,1,0.44152047,0.32163743,0.23684211,0.11695906,0.42105263,0.4619883,"Max Muncy",13301,571970
"René Rivera","NYM",0.25,1.2,0.153846153,0.461538461,0.384615384,0,0.2,0,0,0,0,0.53846154,0.38461538,0.07692308,0.15384615,0.38461538,0.46153846,"Rene Rivera",3648,425784
"Rhys Hoskins","PHI",0.267379679,0.576354679,0.205955334,0.29032258,0.503722084,0.152709359,0.142857142,6,0.051282051,0,0,0.47394541,0.3325062,0.19354839,0.15632754,0.382134,0.46153846,"Rhys Hoskins",16472,656555
"Christian Walker","ARI",0.312138728,1.083333333,0.2,0.416,0.384,0.118055555,0.201388888,5,0.032051282,0,0,0.39466667,0.36533333,0.24,0.13866667,0.4,0.46133333,"Christian Walker",13419,572233
"Khris Davis","OAK",0.26433121,1.126984126,0.204747774,0.421364985,0.37388724,0.071428571,0.182539682,7,0.049295774,0,0,0.40356083,0.35905045,0.23738872,0.11869436,0.42136499,0.45994065,"Khris Davis",9112,501981
"J.D. Martinez","BOS",0.342364532,1.227272727,0.2239819,0.427601809,0.348416289,0.025974025,0.233766233,14,0.074074074,0,0,0.41176471,0.32352941,0.26470588,0.10180995,0.43891403,0.45927602,"J.D. Martinez",6184,502110
"Max Stassi","- - -",0.202380952,1.392857142,0.211764705,0.458823529,0.329411764,0.107142857,0.035714285,2,0.051282051,0,0,0.48235294,0.32941176,0.18823529,0.17647059,0.36470588,0.45882353,"Max Stassi",10059,545358
