"last_name, first_name","player_id","attempts","avg_hit_angle","anglesweetspotpercent","max_hit_speed","avg_hit_speed","ev50","fbld","gb","max_distance","avg_distance","avg_hr_distance","ev95plus","ev95percent","barrels","brl_percent","brl_pa"
"Rodriguez, Eduardo","593958","564","9.8",31.7,"111.9","86.2","75.2","90.9","83","455","160","403","166",29.4,"33",5.9,3.8
"Lynn, Lance","458681","562","13.8",34,"113.5","87.9","77.5","91.3","85.7","454","179","407","185",33.8,"33",5.9,3.8
"Kelly, Merrill","518876","558","12.5",33,"112.7","89.9","79.7","93.6","87","443","177","405","223",40,"53",9.5,6.8
"Bauer, Trevor","545333","557","16.4",33.6,"111.9","88.7","78","92.4","86.4","451","183","396","210",37.7,"48",8.6,5.3
"Stroman, Marcus","573186","555","5.6",27.2,"113.9","88.2","77.1","92.8","85.8","426","139","384","197",35.6,"23",4.1,3
"Bieber, Shane","669456","554","12.6",32.5,"113.5","90.6","80.8","94.1","88.5","447","172","391","231",43.3,"47",8.5,5.5
"Kikuchi, Yusei","579328","549","12.3",32.1,"115.1","89.2","78.6","93.3","87.2","462","169","398","209",39.1,"42",7.7,5.8
"Samardzija, Jeff","502188","545","16.9",34.5,"117.9","89.5","79.6","93.5","85.7","440","194","403","205",37.7,"45",8.3,6.1
"Quintana, Jose","500779","544","11.1",34.6,"114.2","90","80.6","92.9","88.6","468","174","402","199",37.9,"31",5.7,4.2
"Lester, Jon","452657","542","12.2",37.1,"112.2","88.6","78.1","91.9","86.4","457","176","407","188",34.7,"40",7.4,5.2
"Hendricks, Kyle","543294","538","14.2",33.6,"112.5","86.5","75.5","90.7","83.5","438","174","398","169",31.5,"29",5.4,4
"Junis, Jakob","596001","537","12.7",35.4,"112.8","90.1","80.2","92.6","88.6","473","178","408","221",41.2,"46",8.6,6
"Ryu, Hyun Jin","547943","532","7.2",32.5,"115.3","86.6","75.1","90.6","84","438","148","403","164",30.8,"25",4.7,3.5
"Pérez, Martín","527048","532","9.5",33.5,"113.8","86.2","75","91.5","82.3","444","154","385","158",29.7,"28",5.3,3.8
"Nola, Aaron","605400","532","9.2",32.9,"113.3","89.2","78.6","93.9","86.3","445","160","399","210",39.5,"36",6.8,4.2
"Hudson, Dakota","641712","526","3.3",31,"114.6","89.3","78","94.6","86.7","448","139","406","204",38.8,"36",6.8,4.8
"Strasburg, Stephen","544931","524","7.8",29.8,"113.4","87.9","77.4","92.2","85.4","458","150","400","177",33.8,"32",6.1,3.8
"Corbin, Patrick","571578","524","8.4",31.7,"115","89.9","79","95","86","462","166","420","203",38.7,"49",9.4,5.9
"Eflin, Zach","621107","522","12",30.1,"112.1","88.2","77.7","92.4","84.9","447","170","399","171",32.8,"36",6.9,5.1
"Wainwright, Adam","425794","520","10.2",32.1,"113.6","88.9","78.3","92.5","86.8","436","160","395","197",39.2,"34",6.5,4.6
"Davies, Zach","605200","516","13.8",37,"113.8","88.7","78.7","92.5","86.2","473","181","401","172",33.3,"37",7.2,5.5
"Sánchez, Aníbal","434671","516","14.7",37.8,"113.7","87","76.6","91.4","82.5","436","185","405","146",28.3,"34",6.6,4.8
"Miley, Wade","489119","513","8.3",29,"114.3","87.5","76.9","91.1","85.2","441","152","388","159",32.5,"22",4.3,3.1
"Musgrove, Joe","605397","512","11.7",31.4,"112","88.9","78.3","92.5","86.8","449","172","403","198",38.7,"33",6.4,4.6
"Soroka, Michael","647336","510","6.7",32.4,"114.3","88.2","76.8","91.9","86.3","455","147","406","191",37.5,"26",5.1,3.7
"Keller, Brad","641745","508","9.1",32.5,"112.5","89.1","78.7","93.6","86.7","453","157","405","196",38.6,"30",5.9,4.2
"Márquez, Germán","608566","506","7.2",34.2,"116.3","91.1","81.4","93.6","89.4","469","160","407","218",43.1,"40",7.9,5.5
"Roark, Tanner","543699","499","15.5",36.9,"115.1","89","78.5","92.2","86.3","472","186","408","179",37.3,"42",8.4,5.8
"Verlander, Justin","434378","498","18.5",30.1,"109.8","87.3","76.5","91.8","83.3","436","190","390","157",33.3,"36",7.2,4.3
"deGrom, Jacob","594798","498","13.2",31.5,"111.6","86.5","75.7","91.7","82.4","456","168","404","147",30.8,"24",4.8,3
"Teheran, Julio","527054","494","15.5",31.2,"113.5","89","78.9","91.7","87.4","451","184","408","175",35.4,"34",6.9,4.5
"Boyd, Matthew","571510","491","19.3",32.8,"114.9","89.3","79.5","92","88","449","191","398","172",35.3,"44",9,5.6
"Bailey, Homer","456701","490","13.6",31.6,"114.7","90.3","80.8","93","89.4","436","170","393","193",39.5,"28",5.7,4
"Happ, J.A.","457918","483","13.7",33.3,"112.2","89.2","79","93.6","86.1","447","176","397","181",37.5,"40",8.3,5.9
"Gibson, Kyle","502043","482","7.1",32.8,"113","88.3","77","92.9","86","465","145","402","182",37.8,"36",7.5,5.1
"Morton, Charlie","450203","481","9.2",34.3,"112.1","86.9","75.6","90.7","85","431","156","398","158",32.8,"24",5,3
"Matz, Steven","571927","479","10.3",31.5,"113.6","88.9","77.8","92.5","86.9","482","163","408","185",38.6,"41",8.6,5.9
"Flaherty, Jack","656427","479","15.5",33.4,"116.3","86.6","75.5","91.2","84.2","431","178","399","145",30.3,"33",6.9,4.3
"Sparkman, Glenn","642098","478","14.2",39.3,"113.6","90.8","80.9","94.1","88.1","471","198","405","200",41.8,"37",7.7,6.1
"Buehler, Walker","621111","478","12.8",34.5,"111.3","89.3","79.6","92.5","86.5","458","181","396","174",36.4,"26",5.4,3.5
"Fried, Max","608331","476","4.3",32.4,"114","89.2","78.5","91.8","87.6","451","146","391","186",39.1,"21",4.4,3
"DeSclafani, Anthony","543101","476","12.3",33.2,"113.3","89.1","78.3","93.1","86.5","474","174","403","179",38.7,"34",7.1,4.9
"Bundy, Dylan","605164","474","14",31.9,"113.4","88.2","78.3","92.7","84.8","452","173","394","151",31.9,"28",5.9,4
"Kershaw, Clayton","477132","472","11.8",29.9,"112.5","88.7","78.6","93.1","86.7","442","164","406","154",34.1,"31",6.6,4.4
"Means, John","607644","472","20",36.9,"115.3","87.5","77.3","90.9","83.6","446","199","403","145",30.7,"32",6.8,5
"Williams, Trevor","592866","472","17.2",35.6,"114.1","88","77.2","92.5","85.2","441","191","398","168",35.6,"39",8.3,6.1
"Lucchesi, Joey","664192","470","11.4",30.6,"113","88.3","77.6","92.2","86.2","436","163","398","171",36.4,"34",7.2,5
"Castillo, Luis","622491","469","5.8",26.2,"112.8","87.2","75.4","91.9","84.7","442","137","403","154",33.6,"24",5.1,3.1
"Cashner, Andrew","488768","466","10.3",31.8,"120.6","89.7","79.4","94.4","86.4","441","170","407","191",41,"36",7.7,5.7
"Thornton, Trent","663423","462","16.8",38.7,"115.4","88.2","77.2","93","83","474","191","400","171",37,"34",7.4,5
"Lauer, Eric","641778","457","14.1",32.4,"112.6","89.8","79.7","93.8","87.1","436","179","397","180",39.4,"27",5.9,4.1
"Vargas, Jason","450306","456","16.7",33.1,"111.3","87.6","77.1","92.3","84","440","183","401","154",33.8,"36",7.9,5.5
"Senzatela, Antonio","622608","445","4.9",31.2,"114.1","90.1","79.5","93.5","88.5","466","146","408","196",44,"27",6.1,4.6
"Norris, Daniel","596057","443","11.7",30.9,"112.6","90.9","80.7","94","88.4","437","175","406","192",43.3,"39",8.8,6.4
"Cole, Gerrit","543037","440","14",33.2,"115.2","87.6","76.7","92.1","83.7","443","177","394","156",35.5,"26",5.9,3.2
"Darvish, Yu","506433","435","12.6",32.6,"115.5","88.6","78","93.5","85","459","174","405","163",37.5,"32",7.4,4.4
"Turnbull, Spencer","605513","435","9.6",33.8,"114.4","89.6","78.9","93.6","86.9","444","166","386","177",40.7,"29",6.7,4.4
"Gray, Sonny","543243","428","9.1",30.1,"115.1","88.1","77.3","91.9","86.1","425","151","409","137",33.3,"29",6.8,4.1
"Pineda, Michael","501381","427","16.9",35.1,"112.2","89.7","79.7","93","86.2","454","196","391","154",37.4,"31",7.3,5.2
"Gray, Jon","592351","427","8.4",31.6,"116.2","89.9","78.7","92.9","88.7","470","151","407","187",43.8,"25",5.9,3.9
"Arrieta, Jake","453562","426","6.8",33.8,"114","89.3","79.2","93.9","86.5","445","151","402","160",37.6,"29",6.8,4.9
"Odorizzi, Jake","543606","423","18.1",37.1,"114.4","89.2","79.4","92.6","86.9","462","190","397","153",36.2,"33",7.8,5
"Ray, Robbie","592662","422","14.8",38.6,"114.3","88.9","77.8","93.2","85","446","190","409","163",38.6,"45",10.7,6
"Jurado, Ariel","642558","420","9.6",34.5,"115.8","90","79.5","93.8","87.3","447","169","404","181",43.1,"42",10,7.8
"Sampson, Adrian","592716","417","15.5",33.8,"113.6","91","80.9","93.7","90.4","453","188","405","197",47.2,"42",10.1,7.5
"Giolito, Lucas","608337","416","17.7",37.3,"117","88.1","77","92.8","85","459","183","408","144",34.6,"39",9.4,5.5
"Yarbrough, Ryan","642232","416","15.2",35.1,"112.1","84.9","73.5","89.1","82.9","427","168","401","109",26.2,"29",7,5.2
"Smith, Caleb","592761","412","23.6",35.2,"113.1","88.7","78.1","92.7","83.9","485","214","403","148",35.9,"45",10.9,7
"Bassitt, Chris","605135","411","15",32.4,"111.7","87.8","77.6","92","86.3","454","175","401","128",31.7,"20",4.9,3.3
"Anderson, Chase","502624","410","19.6",31.5,"114.3","87.3","76.4","91.1","85","457","187","406","129",32.9,"26",6.3,4.4
"Sanchez, Aaron","592717","410","8.9",29.5,"114.1","89.8","78.7","94.7","86.5","476","160","400","173",42.2,"31",7.6,5.1
"Scherzer, Max","453286","409","13.5",35.2,"111.7","87.6","76.8","92","83.8","445","177","398","145",35.5,"27",6.6,3.9
"Hamels, Cole","430935","409","11.3",30.8,"118.3","90.3","80.1","94.5","87.2","454","166","410","169",41.3,"31",7.6,5
"LeBlanc, Wade","453281","408","13.9",38.5,"112.6","89.4","78.8","93.3","86.2","447","184","397","159",39,"32",7.8,6
"Wacha, Michael","608379","400","9.7",35.5,"113.7","88.2","77.1","93.1","85","463","162","410","142",35.5,"31",7.8,5.5
"Maeda, Kenta","628317","400","15.4",35.3,"112","86.1","75.8","90.5","82.4","457","176","400","115",28.7,"22",5.5,3.5
"Germán, Domingo","593334","397","15.2",37.8,"118.3","89.4","79","93.9","85.4","441","189","395","159",40.1,"35",8.8,5.9
"Lyles, Jordan","543475","397","15",30.7,"112.7","89.9","80.2","93.5","87.8","438","186","401","159",41.3,"32",8.1,5.3
"Richards, Trevor","670950","392","17.8",34.4,"112.2","88.5","78.4","92.3","85.5","423","188","391","136",34.7,"25",6.4,4.3
"Zimmermann, Jordan","519455","391","12.6",37.9,"115.6","90.3","80.7","94.2","87.2","458","180","394","150",38.4,"37",9.5,7.3
"Paxton, James","572020","390","17.6",35.1,"113.4","89.2","78.8","91.8","89.4","433","185","393","150",38.5,"29",7.4,4.6
"Mahle, Tyler","641816","387","9.4",32.3,"111.7","89.2","78.9","92.8","86.9","442","165","398","140",37.6,"29",7.5,5.2
"López, Jorge","605347","387","10.2",34.6,"115.6","90.3","80","94.5","87","450","173","405","157",40.6,"46",11.9,8.4
"Duffy, Danny","518633","386","16.4",33.4,"113.1","89.3","78.9","92.8","87.1","478","189","417","146",37.8,"29",7.5,5.2
"Chirinos, Yonny","630023","385","11.5",34.5,"111","88.1","77.3","92.5","84.9","447","175","403","130",33.8,"34",8.8,6.4
"Ynoa, Gabriel","593679","384","11.1",30.7,"112","90","79.5","93.6","87.5","461","174","399","157",40.9,"39",10.2,8.1
"Paddack, Chris","663978","378","15.7",33.1,"113","87.8","77.8","92","84.7","439","178","401","123",32.5,"27",7.1,4.8
"Beede, Tyler","595881","359","11.5",33.7,"114.8","91.3","81.6","94.6","89","433","179","406","159",44.3,"30",8.4,5.7
"Brooks, Aaron","605156","356","12.2",32.3,"111.5","89.7","79.4","93.2","88.1","474","176","405","148",41.6,"28",7.9,5.8
"Plutko, Adam","592644","354","19.9",37,"116","88.1","77.9","92.3","84.6","467","199","397","116",32.8,"27",7.6,5.8
"Freeland, Kyle","607536","353","10",34,"116.3","89.5","78.5","93","87.2","451","168","406","141",40.1,"31",8.8,6.6
"Keuchel, Dallas","572971","348","2.9",26.1,"111","88.8","77.9","94.5","86.7","447","131","406","134",38.5,"24",6.9,4.9
"Foltynewicz, Mike","592314","347","15",30.8,"112.6","89.1","78.6","92.8","86.5","429","187","394","138",39.8,"27",7.8,5.5
"Plesac, Zach","668676","344","14.4",36.3,"114.3","89.6","79.1","92.7","87.3","442","187","398","133",38.7,"28",8.1,5.9
"Sale, Chris","519242","344","12.9",34.9,"111.4","88.5","78","92.9","85.3","448","176","390","125",36.3,"28",8.1,4.6
"Brault, Steven","643230","344","10.2",33.7,"112.2","90.5","80.9","93.2","89.1","460","174","408","133",38.7,"21",6.1,4.2
"Strahm, Matt","621381","340","15.9",35.6,"112.6","89","78.4","93.4","85.1","447","189","402","136",40,"33",9.7,6.8
"Smyly, Drew","592767","337","17.8",35.9,"114.2","89","78.2","92.9","85.1","436","206","399","130",38.6,"33",9.8,6.4
"López, Pablo","641154","336","10",32.1,"114.2","88.2","77.2","91.5","86.9","420","155","395","124",36.9,"25",7.4,5.3
"Milone, Tommy","543548","334","16.5",38,"114.8","87.2","76.4","92.4","81.3","458","198","403","100",31.3,"32",9.6,7.1
"Velasquez, Vince","592826","334","17.7",33.5,"114.5","90.8","81.1","94.1","88.8","459","201","391","134",40.1,"34",10.2,6.6
"Rodríguez, Dereck","605446","330","13.1",34.5,"111","89.5","79.6","92.7","87.8","437","171","395","119",36.2,"23",7,5.2
"Cahill, Trevor","502239","329","9.1",27.4,"115.1","88.8","78.4","93.4","86.2","438","165","398","118",37.5,"23",7,5.1
"Beeks, Jalen","656222","326","10.1",35,"114.7","88.5","77.3","93","85.3","443","165","408","117",35.9,"24",7.4,5.2
"Archer, Chris","502042","324","14.4",40.7,"112.1","89.4","78.5","92.8","86.3","436","189","401","128",39.5,"34",10.5,6.5
"Quantrill, Cal","615698","323","11.9",33.7,"111.9","87.9","77.9","90.8","85.4","433","168","401","105",32.5,"23",7.1,5.2
"Lambert, Peter","663567","321","7.4",36.8,"113.1","89.8","79.2","94","86.7","472","167","406","127",39.6,"20",6.2,4.8
"Sabathia, CC","282332","318","14.9",36.5,"114.3","87","76.3","90.3","84.6","432","182","387","97",30.5,"26",8.2,5.6
"Chacín, Jhoulys","468504","318","16.9",35.2,"112.1","89.6","78.9","94.3","86.5","463","189","403","135",42.5,"25",7.9,5.3
"Anderson, Shaun","641312","317","12.1",39.4,"112.8","88.5","77.5","91.8","86.5","454","170","408","118",37.3,"23",7.3,5.4
"Woodruff, Brandon","605540","315","12.4",37.5,"113.3","86.1","74.6","90.3","83.3","448","167","409","95",30.2,"13",4.1,2.6
"Houser, Adrian","605288","303","5.3",30,"110.4","86.7","75.1","92.5","84","448","144","398","107",35.3,"15",5,3.2
"Gausman, Kevin","592332","300","13.6",40.3,"113.9","88.7","78.4","92.2","85.3","432","180","397","108",36.5,"24",8,5.3
"Price, David","456034","295","12.6",36.9,"113.2","88.4","77.2","93.3","84.1","453","180","405","113",38.3,"24",8.1,5.2
"Montgomery, Mike","543557","294","7.1",35,"112.6","90.4","80","94.4","86.8","486","172","407","131",44.7,"24",8.2,6
"Clevinger, Mike","605182","291","13.1",37.1,"113.5","86.4","74.6","92.3","80.9","442","175","401","99",34,"17",5.8,3.4
"Pivetta, Nick","601713","289","11.2",35.6,"113.2","89.7","80.4","92.3","87.8","439","173","387","101",34.9,"29",10,6.9
"Godley, Zack","643327","289","11.6",37,"113.8","89.5","79.7","93.4","86.9","469","173","410","103",35.6,"24",8.3,5.9
"Ureña, José","570632","279","9.1",33.3,"113","90.7","80.9","93.9","89","446","157","390","108",38.7,"22",7.9,6
"Gaviglio, Sam","543208","278","10.2",25.9,"113.8","88.3","77.4","93.9","84.9","456","163","399","98",35.3,"18",6.5,4.6
"Pomeranz, Drew","519141","270","14.7",35.9,"111","89.8","80.3","93","87.2","449","184","400","96",35.8,"24",8.9,5.3
"Peña, Félix","570240","266","13.3",33.8,"112.1","89","78.6","93.3","86.2","429","172","399","100",37.6,"18",6.8,4.4
"Hess, David","605276","265","18.2",43,"115.4","92.3","82.9","96","88.6","443","208","398","132",49.8,"35",13.2,9.6
"Clarke, Taylor","664199","265","16",30.6,"114.3","89.3","78.3","94.4","85.6","458","188","406","105",39.8,"32",12.1,8.7
"Montas, Frankie","593423","264","9.9",32.6,"111.4","87","75.1","93.5","83.3","440","149","399","92",34.8,"10",3.8,2.5
"Tomlin, Josh","458708","262","17.8",32.8,"111.9","89.1","79.4","92.1","86.4","424","194","398","88",33.6,"17",6.5,5.3
"Barria, Jaime","642545","261","18.6",41,"112.9","89.9","80.2","93.3","86.3","441","209","401","106",40.6,"28",10.7,7.7
"Suarez, José","660761","260","16.7",35.8,"116.2","88.7","78.4","93","85.9","451","188","395","97",37.3,"23",8.8,6.1
"Fedde, Erick","607200","258","7.2",34.1,"112","89.2","77.9","92.6","87.3","438","153","399","103",39.9,"19",7.4,5.7
"Stripling, Ross","548389","255","10.8",24.3,"117.4","89.2","79","93.7","87.4","415","155","401","98",38.4,"17",6.7,4.6
"Heaney, Andrew","571760","254","18.5",35.4,"110.9","90.4","81.3","92.8","89.3","450","207","405","100",39.4,"25",9.8,6.1
"Snell, Blake","605483","253","15",31.2,"111.5","88.3","78.9","91.7","85.9","436","176","389","81",32,"12",4.7,2.7
"Agrazal, Dario","642607","252","14.8",34.9,"112.1","87.3","76.7","92.3","84.1","459","179","399","75",29.8,"17",6.7,5.3
"Peacock, Brad","502748","251","14.3",30.7,"115.5","90.1","80.3","93.1","88.2","481","186","408","104",41.4,"20",8,5.2
"González, Gio","461829","251","9.6",32.3,"112.7","87.4","77","92.6","82.8","449","163","403","74",31.2,"16",6.4,4.4
"Canning, Griffin","656288","250","17.4",31.6,"110.6","87.9","77.6","91.9","84.7","439","190","405","81",32.4,"19",7.6,4.9
"Stammen, Craig","489334","249","5.5",31.3,"112.4","87","76","91.4","83.4","436","158","394","84",33.7,"13",5.2,3.8
"Jackson, Edwin","429719","249","11.9",40.2,"115.7","91.1","80.9","95.4","87.5","450","189","392","108",43.4,"30",12,8.9
"Young, Alex","622065","247","10.2",27.9,"109.1","87.8","76.9","91.7","85.4","432","159","407","88",35.6,"18",7.3,5.2
"Holland, Derek","502706","245","14",31,"113.9","91.1","80.7","94.5","88","467","185","412","102",42.1,"30",12.2,8
"Wojciechowski, Asher","592879","244","21.4",34.4,"111.3","88.1","77.1","92.7","83.5","443","212","397","89",36.5,"26",10.7,7.2
"Stratton, Chris","608717","242","11.8",32.2,"111.9","88.4","78.1","92.7","85.5","441","176","402","77",34.7,"12",5,3.5
"Peters, Dillon","596071","241","13.6",39.4,"114.4","89.4","78.5","93.9","84.7","444","191","397","99",41.1,"21",8.7,6.4
"Detwiler, Ross","446321","239","10.4",30.1,"113.7","90.4","80.4","94.8","87.8","496","169","406","97",40.6,"23",9.6,7.3
"Ramirez, Nick","598286","238","11.5",31.9,"112.8","86.8","75.7","92.1","83.8","436","162","404","71",29.8,"18",7.6,5.2
"Waguespack, Jacob","621097","238","14.8",35.7,"114.9","89.1","78.5","93","87.2","436","180","407","91",38.2,"17",7.1,5.1
"Chavez, Jesse","445926","238","13.2",34.5,"114.5","88.1","77","93.4","84","433","175","408","82",34.5,"21",8.8,6.2
"Hernández, Félix","433587","237","11",31.2,"112.7","91.9","82.2","95.5","90","450","171","397","99",41.8,"24",10.1,7.4
"Cessa, Luis","570666","234","10.9",31.2,"109.1","88.4","78.1","91.4","86.8","425","160","383","88",37.6,"12",5.1,3.5
"Hernández, Elieser","622694","233","21.6",30.5,"110","86.9","76.1","92.6","81.5","424","194","393","74",31.8,"21",9,5.9
"Font, Wilmer","521655","229","18",31.9,"110.7","89.2","79.1","94","84.8","420","191","391","86",38.4,"22",9.6,6.2
"Peralta, Freddy","642547","228","18.7",36.8,"109.7","90.1","80.4","94.5","87.3","462","193","398","88",38.6,"22",9.6,5.8
"Lorenzen, Michael","547179","228","11.7",32,"108","85.5","74.5","89.3","82.9","426","166","383","66",29.7,"7",3.1,2
"Skaggs, Tyler","572140","227","15.8",37,"113.6","88.6","78.5","92","86.9","472","185","416","77",33.9,"14",6.2,4.2
"Guerra, Junior","448855","227","14.3",29.5,"113.2","86.9","76.2","92.5","83.9","445","169","401","64",29.4,"14",6.2,4.1
"Petit, Yusmeiro","433589","227","21.4",31.7,"111.2","87.8","77.5","92.8","81.5","430","194","395","78",34.8,"17",7.5,5.5
"Carrasco, Carlos","471911","227","13.3",35.7,"111.6","91.5","81.4","95.9","87.8","427","185","398","104",45.8,"29",12.8,8.5
"Chen, Wei-Yin","612672","221","14.1",40.3,"111.9","89.4","79","92.9","86.9","454","194","395","90",40.7,"19",8.6,6.2
"Perdomo, Luis","606131","221","5.5",27.6,"109.8","90.3","80.6","93.4","88","455","150","410","94",42.5,"9",4.1,3
"Bettis, Chad","518452","219","2.6",26.5,"115.6","90","79.4","95.9","88.1","425","123","396","91",41.6,"12",5.5,4.2
"Shaw, Bryan","543766","219","7.3",32,"110.4","90.5","81.2","92.5","89.5","456","162","401","89",40.6,"15",6.8,4.8
"Pannone, Thomas","623381","219","18.6",37.4,"110.5","89.5","79.7","93.1","86.7","444","200","401","85",38.8,"21",9.6,6.5
"Walden, Marcus","519393","214","7.5",30.8,"112.3","89.4","80","92","89.6","435","148","419","77",36,"6",2.8,1.8
"Valdez, Framber","664285","213","-1.3",24.9,"112.8","89.5","78.2","95.6","87","423","122","396","86",40.4,"11",5.2,3.3
"Guerra, Javy","457915","212","17.7",34.4,"114.1","89.4","79.8","93","87.4","440","195","401","80",37.7,"17",8,5.9
"Hoffman, Jeff","656546","209","16.2",33,"113.2","90.3","79.1","95.2","85.1","474","198","414","86",41.1,"27",12.9,8.6
"Urías, Julio","628711","209","17.6",34.4,"113.2","84.1","72.6","89.1","82","412","165","397","52",24.9,"9",4.3,2.8
"Chatwood, Tyler","543022","208","4.7",36.1,"117","87.7","76.8","90.2","87.6","418","140","390","74",35.6,"6",2.9,1.9
"Covey, Dylan","592229","208","11.2",38.5,"115.5","89.9","80.2","93.2","87.3","437","172","394","77",37,"20",9.6,7.2
"Cease, Dylan","656302","208","12.1",32.7,"111.3","87.9","76.8","92.5","84.6","453","168","398","78",37.5,"16",7.7,4.9
"McCarthy, Kevin","641838","207","3.8",26.1,"111","89.9","79.3","93.4","88.1","452","136","413","86",41.5,"9",4.3,3.4
"Castro, Miguel","612434","207","9.4",27.1,"112.3","87.1","75.5","92.3","84.3","449","151","394","68",32.9,"13",6.3,4.1
"Hughes, Jared","453172","206","1.3",25.2,"111.4","89.7","80","94.5","87.1","427","134","388","70",34.8,"14",6.8,4.8
"Estévez, Carlos","608032","203","15.5",34.5,"113.5","90.4","80.7","92","89.9","464","192","412","78",38.4,"20",9.9,6.5
"Yamamoto, Jordan","657141","202","16.9",30.7,"112.3","90","79.7","93.3","89.3","445","186","389","78",38.8,"13",6.4,4
"Devenski, Chris","606965","202","19.7",34.7,"113.8","88.7","78.9","93.1","85.3","447","205","387","71",35.1,"17",8.4,5.7
"Hudson, Daniel","543339","202","15.7",32.2,"111.8","89.3","78.6","94","86.1","427","190","408","83",41.1,"18",8.9,5.9
"Ross, Joe","605452","201","10.1",36.8,"110","87.5","76.5","92.5","83.8","435","172","408","72",35.8,"14",7,4.7
"McHugh, Collin","543521","201","15.1",37.8,"113.1","88","78.4","91.8","85","465","184","403","61",30.3,"14",7,4.4
"Liriano, Francisco","434538","200","9.5",28.5,"110.1","85.8","74.9","91","82.2","454","146","398","58",29,"10",5,3.3
"Cortes, Nestor","641482","200","17.7",37.5,"114.1","87.9","76.8","91.4","84.7","440","203","395","71",35.5,"17",8.5,5.7
"Andriese, Matt","542882","200","7.6",33.5,"113","89.1","79.4","92.6","87.2","459","156","402","67",33.5,"13",6.5,4.2
"Stanek, Ryne","592773","199","18",38.2,"116.3","90.3","80.6","94.2","85.4","442","207","411","76",38.2,"19",9.5,5.8
"Margevicius, Nick","676606","199","10.3",35.7,"110.7","88.5","78.3","92.2","85.8","464","169","404","69",34.7,"14",7,5.3
"Soto, Gregory","642397","198","8.4",30.8,"115.1","91.1","81.1","93.2","89.6","441","166","390","87",43.9,"20",10.1,7.2
"Martin, Brett","656685","198","6.3",29.3,"111.2","89.8","80","93.3","88.8","429","141","404","80",40.4,"11",5.6,3.9
"Gallen, Zac","668678","198","13.7",32.8,"112.6","87","75.7","93.2","80.6","456","182","397","71",35.9,"11",5.6,3.3
"González, Chi Chi","592346","198","12.1",34.3,"111.1","88.1","77","92.4","84.7","441","168","409","74",37.4,"11",5.6,4
"Buchholz, Clay","453329","197","10.7",35.5,"112.4","86.8","74.2","94","80.8","427","173","402","72",36.5,"26",13.2,10.2
"Conley, Adam","543045","197","16.1",32,"110.2","88.6","78","92.6","85.8","455","176","411","74",37.6,"13",6.6,4.6
"Buttrey, Ty","621142","197","13.6",35,"109.6","90","80.2","91.8","89.8","446","166","409","80",41.2,"11",5.6,3.6
"Newcomb, Sean","656794","196","11.6",28.6,"112.2","87.3","77","90.9","85.1","442","163","411","60",30.6,"9",4.6,3.1
"Rodríguez, Richard","593144","196","16.7",25.5,"110.5","89.9","80.5","94.5","88.9","435","176","393","76",39.2,"15",7.7,5.3
"Osich, Josh","592612","196","9.8",33.7,"111.1","88.3","77.3","92.6","83.4","447","177","401","71",36.2,"15",7.7,5.5
