"last_name, first_name","player_id","year","pa","bip","ba","est_ba","est_ba_minus_ba_diff","slg","est_slg","est_slg_minus_slg_diff","woba","est_woba","est_woba_minus_woba_diff","era","xera","era_minus_xera_diff"
"Wheeler, Zack","554430","2021","849","548",0.215,0.215,0,0.321,0.317,0.0040000000000000036,0.257,0.258,-0.0010000000000000009,"2.78","2.79","-0.006"
"Alcantara, Sandy","645261","2021","837","576",0.223,0.232,-0.009000000000000008,0.365,0.368,-0.0030000000000000027,0.279,0.287,-0.007999999999999952,"3.19","3.47","-0.276"
"Wainwright, Adam","425794","2021","828","595",0.22,0.251,-0.031,0.352,0.388,-0.03600000000000003,0.273,0.302,-0.02899999999999997,"3.05","3.87","-0.817"
"Buehler, Walker","621111","2021","815","545",0.199,0.217,-0.017999999999999988,0.329,0.344,-0.014999999999999958,0.255,0.271,-0.016000000000000014,"2.47","3.08","-0.61"
"Castillo, Luis","622491","2021","803","529",0.255,0.232,0.022999999999999993,0.402,0.346,0.05600000000000005,0.318,0.293,0.025000000000000022,"3.98","3.63","0.35"
"Hendricks, Kyle","543294","2021","785","597",0.278,0.276,0.0020000000000000018,0.481,0.454,0.02699999999999997,0.345,0.338,0.006999999999999951,"4.77","4.96","-0.187"
"Berríos, José","621244","2021","781","517",0.223,0.241,-0.017999999999999988,0.38,0.407,-0.02699999999999997,0.286,0.311,-0.025000000000000022,"3.52","4.12","-0.604"
"Montas, Frankie","593423","2021","778","506",0.232,0.237,-0.004999999999999977,0.372,0.403,-0.031000000000000028,0.29,0.307,-0.017000000000000015,"3.37","4.01","-0.641"
"Gausman, Kevin","592332","2021","775","494",0.21,0.23,-0.020000000000000018,0.345,0.381,-0.03600000000000003,0.265,0.289,-0.023999999999999966,"2.81","3.52","-0.707"
"Ray, Robbie","592662","2021","773","469",0.21,0.218,-0.008000000000000007,0.401,0.398,0.0030000000000000027,0.287,0.293,-0.006000000000000005,"2.84","3.63","-0.79"
"Lyles, Jordan","543475","2021","769","560",0.278,0.274,0.0040000000000000036,0.499,0.482,0.017000000000000015,0.354,0.351,0.0030000000000000027,"5.15","5.41","-0.26"
"Irvin, Cole","608344","2021","768","591",0.275,0.281,-0.006000000000000005,0.424,0.445,-0.02100000000000002,0.323,0.338,-0.015000000000000013,"4.24","4.96","-0.721"
